Year Month,ANZSOC Division,Police District,vict_sum,vict_cnt
2019-03-01,Theft and Related Offences,Northland,404,269
2019-03-01,Theft and Related Offences,Southern,422,310
2019-03-01,Theft and Related Offences,Tasman,277,208
2019-03-01,Theft and Related Offences,Waikato,813,485
2019-03-01,Theft and Related Offences,Waitemata,1156,602
2019-03-01,Theft and Related Offences,Wellington,1315,654
2019-03-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Auckland City,675,92
2019-03-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Bay Of Plenty,452,94
2019-03-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Canterbury,730,76
2019-03-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Central,429,80
2019-03-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Counties/Manukau,658,93
2019-03-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Eastern,290,50
2019-03-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Northland,232,54
2019-03-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Southern,215,62
2019-03-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Tasman,123,44
2019-03-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Waikato,476,101
2019-03-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Waitemata,469,64
2019-03-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Wellington,458,80
2019-04-01,"Abduction, Harassment and Other Related Offences Against a Person",Auckland City,2,2
2019-04-01,"Abduction, Harassment and Other Related Offences Against a Person",Bay Of Plenty,2,2
2019-04-01,"Abduction, Harassment and Other Related Offences Against a Person",Canterbury,1,1
2019-04-01,"Abduction, Harassment and Other Related Offences Against a Person",Central,2,2
2019-04-01,"Abduction, Harassment and Other Related Offences Against a Person",Counties/Manukau,5,5
2019-04-01,"Abduction, Harassment and Other Related Offences Against a Person",Eastern,5,5
2019-04-01,"Abduction, Harassment and Other Related Offences Against a Person",Northland,2,2
2019-04-01,"Abduction, Harassment and Other Related Offences Against a Person",Southern,1,1
2019-04-01,"Abduction, Harassment and Other Related Offences Against a Person",Waikato,3,3
2019-04-01,"Abduction, Harassment and Other Related Offences Against a Person",Waitemata,1,1
2019-04-01,"Abduction, Harassment and Other Related Offences Against a Person",Wellington,4,4
2019-04-01,Acts Intended to Cause Injury,Auckland City,245,213
2019-04-01,Acts Intended to Cause Injury,Bay Of Plenty,416,352
2019-04-01,Acts Intended to Cause Injury,Canterbury,336,251
2019-04-01,Acts Intended to Cause Injury,Central,357,302
2019-04-01,Acts Intended to Cause Injury,Counties/Manukau,595,500
2019-04-01,Acts Intended to Cause Injury,Eastern,247,204
2019-04-01,Acts Intended to Cause Injury,Northland,129,110
2019-04-01,Acts Intended to Cause Injury,Southern,198,180
2019-04-01,Acts Intended to Cause Injury,Tasman,118,106
2019-04-01,Acts Intended to Cause Injury,Waikato,338,285
2019-04-01,Acts Intended to Cause Injury,Waitemata,234,196
2019-04-01,Acts Intended to Cause Injury,Wellington,435,397
2019-04-01,"Robbery, Extortion and Related Offences",Auckland City,37,35
2019-04-01,"Robbery, Extortion and Related Offences",Bay Of Plenty,10,10
2019-04-01,"Robbery, Extortion and Related Offences",Canterbury,38,35
2019-04-01,"Robbery, Extortion and Related Offences",Central,20,20
2019-04-01,"Robbery, Extortion and Related Offences",Counties/Manukau,62,51
2019-04-01,"Robbery, Extortion and Related Offences",Eastern,7,7
2019-04-01,"Robbery, Extortion and Related Offences",Northland,9,9
2019-04-01,"Robbery, Extortion and Related Offences",Southern,6,6
2019-04-01,"Robbery, Extortion and Related Offences",Tasman,9,9
2019-04-01,"Robbery, Extortion and Related Offences",Waikato,33,27
2019-04-01,"Robbery, Extortion and Related Offences",Waitemata,23,22
2019-04-01,"Robbery, Extortion and Related Offences",Wellington,16,15
